Date,Rep,Trt,Plug,Dist_I_P(unit:mm),Dist_P_E(unit:mm),IsNAorNot
7,4,25-50,50,12.12,0,FALSE
7,5,25-50,WA,11.32,0,FALSE
7,5,25-50,25,11.26,0,FALSE
7,5,25-50,50,10.57,0,FALSE
7,1,100-200,WA,11.14,0,FALSE
7,1,100-200,100,14.45,0,FALSE
7,1,100-200,200,13.69,0,FALSE
7,2,100-200,WA,11.42,0,FALSE
7,2,100-200,100,13.8,0,FALSE
7,2,100-200,200,16.6,0,FALSE
7,3,100-200,WA,10.5,0,FALSE
7,3,100-200,100,13.39,0,FALSE
7,3,100-200,200,15.54,0,FALSE
7,5,100-200,WA,11.05,0,FALSE
7,5,100-200,100,12.72,0,FALSE
7,5,100-200,200,15.51,0,FALSE
7,1,100-150,WA,11.07,0,FALSE
7,1,100-150,100,11.93,0,FALSE
7,1,100-150,150,13.41,0,FALSE
7,2,100-150,WA,11.62,0,FALSE
7,2,100-150,100,11.64,0,FALSE
7,2,100-150,150,12.9,0,FALSE
7,3,100-150,WA,10.59,0,FALSE
7,3,100-150,100,13.3,0,FALSE
7,3,100-150,150,13.74,0,FALSE
7,4,100-150,WA,11.05,0,FALSE
7,4,100-150,100,13.35,0,FALSE
7,4,100-150,150,13.17,0,FALSE
7,5,100-150,WA,11.15,0,FALSE
7,5,100-150,100,12.92,0,FALSE
7,5,100-150,150,13.36,0,FALSE
7,4,100-200,WA,10.22,0,FALSE
7,4,100-200,100,13.89,0,FALSE
7,4,100-200,200,14,0,FALSE
7,1,25-100,WA,11.32,0,FALSE
7,1,25-100,25,11.53,0,FALSE
7,1,25-100,100,12.84,0,FALSE
7,2,25-100,WA,10.91,0,FALSE
7,2,25-100,25,11.58,0,FALSE
7,2,25-100,100,13,0,FALSE
7,3,25-100,WA,11.6,0,FALSE
7,3,25-100,25,12.02,0,FALSE
7,3,25-100,100,11.83,0,FALSE
7,4,25-100,WA,11.19,0,FALSE
7,4,25-100,25,12.15,0,FALSE
7,4,25-100,100,12.11,0,FALSE
7,5,25-100,WA,11.05,0,FALSE
7,5,25-100,25,11.07,0,FALSE
7,5,25-100,100,12.01,0,FALSE
7,1,50-200,WA,12.15,0,FALSE
7,1,50-200,50,13.93,0,FALSE
7,1,50-200,200,17.06,0,FALSE
7,2,50-200,WA,11.32,0,FALSE
7,2,50-200,50,14,0,FALSE
7,2,50-200,200,14.53,0,FALSE
7,3,50-200,WA,12.89,0,FALSE
7,3,50-200,50,13.08,0,FALSE
7,3,50-200,200,13.73,0,FALSE
7,4,50-200,WA,12.43,0,FALSE
7,4,50-200,50,12.99,0,FALSE
7,4,50-200,200,15.03,0,FALSE
7,5,50-200,WA,10.95,0,FALSE
7,5,50-200,50,14.26,0,FALSE
7,5,50-200,200,15.07,0,FALSE
11,1,75-150,WA,16.26,0,FALSE
11,1,75-150,75,16.99,0,FALSE
11,1,75-150,150,18.62,0,FALSE
11,2,75-150,WA,16.89,0,FALSE
11,2,75-150,75,18.1,0,FALSE
11,2,75-150,150,18.52,0,FALSE
11,3,75-150,WA,17.93,0,FALSE
11,3,75-150,75,19.8,0,FALSE
11,3,75-150,150,20.52,1.78,FALSE
11,4,75-150,WA,17.82,0,FALSE
11,4,75-150,75,20.18,0,FALSE
11,4,75-150,150,21.01,0,FALSE
11,5,75-150,WA,17.03,0,FALSE
11,5,75-150,75,17.73,0,FALSE
11,5,75-150,150,18.89,0,FALSE
11,4,50-75,WA,16.74,0,FALSE
11,4,50-75,50,18.5,0,FALSE
11,4,50-75,75,19.23,0,FALSE
11,3,50-75,WA,16.74,0,FALSE
11,3,50-75,50,17.11,0,FALSE
11,3,50-75,75,18.37,0,FALSE
11,1,50-75,WA,16.72,0,FALSE
11,1,50-75,50,16.45,0,FALSE
11,1,50-75,75,17.24,0,FALSE
11,2,50-75,WA,15.09,0,FALSE
11,2,50-75,50,16.44,0,FALSE
11,2,50-75,75,18.13,0,FALSE
11,5,50-75,WA,16.69,0,FALSE
11,5,50-75,50,17.72,0,FALSE
11,5,50-75,75,17.1,0,FALSE
11,1,50-150,WA,14.37,0,FALSE
11,1,50-150,50,16.23,0,FALSE
11,1,50-150,150,21.56,0.76,FALSE
11,2,50-150,WA,14.98,0,FALSE
11,2,50-150,50,18.38,0,FALSE
11,2,50-150,150,21.96,0,FALSE
11,3,50-150,WA,17.85,0,FALSE
11,3,50-150,50,18.48,0,FALSE
11,3,50-150,150,21.76,0,FALSE
11,4,50-150,WA,14.62,0,TRUE
11,4,50-150,50,22.03,7.87,TRUE
11,4,50-150,150,21.04,0,TRUE
11,5,50-150,WA,15.48,0,FALSE
11,5,50-150,50,16.08,0,FALSE
11,5,50-150,150,19.32,0,FALSE
11,1,50-100,WA,16.14,0,FALSE
11,1,50-100,50,18.82,0,FALSE
11,1,50-100,100,18.83,0,FALSE
11,2,50-100,WA,15.51,0,FALSE
11,2,50-100,50,15.94,0,FALSE
11,2,50-100,100,17.13,0,FALSE
11,3,50-100,WA,15.14,0,FALSE
11,3,50-100,50,16.5,0,FALSE
11,3,50-100,100,17.24,0,FALSE
11,5,50-100,WA,14.86,0,FALSE
11,5,50-100,50,16.46,0,FALSE
11,5,50-100,100,17.09,0,FALSE
11,4,50-100,WA,15.29,0,FALSE
11,4,50-100,50,15.62,0,FALSE
11,4,50-100,100,18.82,0,FALSE
11,1,25-75,WA,16.68,0,FALSE
11,1,25-75,25,18.47,0,FALSE
11,1,25-75,75,18.3,0,FALSE
11,2,25-75,WA,15.3,0,FALSE
11,2,25-75,25,16.15,0,FALSE
11,2,25-75,75,17.02,0,FALSE
11,3,25-75,WA,15.48,0,FALSE
11,3,25-75,25,15.34,0,FALSE
11,3,25-75,75,15.07,0,FALSE
11,4,25-75,WA,16.16,0,FALSE
11,4,25-75,25,16.91,0,FALSE
