date,trt,conc.,rep,Innoculate_to_plug(mm),plug_to_edge(mm),IsNA,預設距離為 12mm
6,25-150,150,8,12.85,0,,
6,25-150,150,9,12.05,2.08,,
6,25-150,150,10,11.61,0,,
6,50-150,50,1,9.88,0,,
6,50-150,50,2,8.95,0,,
6,50-150,50,3,8.29,0,,
6,50-150,50,4,10.05,0,,
6,50-150,50,5,9.82,0,,
6,50-150,50,6,10.64,0,,
6,50-150,50,7,8.69,0,,
6,50-150,50,8,9.59,0,,
6,50-150,50,9,8.6,0,,
6,50-150,50,10,9.03,0,,
6,50-150,150,1,11.21,1.06,,
6,50-150,150,2,10.33,0,,
6,50-150,150,3,9.53,0,,
6,50-150,150,4,11.21,1.73,,
6,50-150,150,5,11.53,0,,
6,50-150,150,6,12.7,0,,
6,50-150,150,7,12.67,0.8,,
6,50-150,150,8,12.07,0,,
6,50-150,150,9,11.65,0,,
6,50-150,150,10,9.49,0,,
6,50-100,50,1,10.68,1.37,,
6,50-100,50,2,9.97,0,,
6,50-100,50,3,11.58,0,,
6,50-100,50,4,9.93,0,,
6,50-100,50,5,8.24,0,,
6,50-100,50,6,11.01,0,,
6,50-100,50,7,9.22,0,,
6,50-100,50,8,9.88,0,,
6,50-100,50,9,10.37,0,,
6,50-100,50,10,10.73,0,,
6,50-100,100,1,8.18,4.26,,
6,50-100,100,2,12.41,1.02,,
6,50-100,100,3,10.5,0,,
6,50-100,100,4,12.46,0.66,,
6,50-100,100,5,11.43,0,,
6,50-100,100,6,10.64,0,,
6,50-100,100,7,10.1,0,,
6,50-100,100,8,10.55,0,,
6,50-100,100,9,9.75,0,,
6,50-100,100,10,9.91,0,,
6,75-100,75,1,8.95,0,,
6,75-100,75,2,10.11,0,,
6,75-100,75,3,10.38,0,,
6,75-100,75,4,9.85,0,,
6,75-100,75,5,10.67,0,,
6,75-100,75,6,11.66,0,,
6,75-100,75,7,8.93,0,,
6,75-100,75,8,10.72,0,,
6,75-100,75,9,9.57,0,,
6,75-100,75,10,9.22,0,,
6,75-100,100,1,11.3,0,,
6,75-100,100,2,9.49,0,,
6,75-100,100,3,11.53,0,,
6,75-100,100,4,10.28,0,,
6,75-100,100,5,11.52,0,,
6,75-100,100,6,12.54,0,,
6,75-100,100,7,10.55,0,,
6,75-100,100,8,9.35,0,,
6,75-100,100,9,10.99,0,,
6,75-100,100,10,7.8,0,,
10,25-100,25,1,13.35,4.18,,
10,25-100,25,2,12.98,4.68,,
10,25-100,25,3,12.99,6.14,,
10,25-100,25,4,13.05,6.46,,
10,25-100,25,5,13.7,3.12,,可能有動到
10,25-100,25,6,14.28,2.39,,
10,25-100,25,7,13.18,4.11,,
10,25-100,25,8,12.46,4.63,,
10,25-100,25,9,12.07,5.44,,
10,25-100,25,10,13.23,4.11,,可能有動到
10,25-100,100,1,12.2,7.31,,
10,25-100,100,2,13.27,7.83,,
10,25-100,100,3,11.48,8.55,,
10,25-100,100,4,12.86,8.1,,
10,25-100,100,5,12.41,9.7,,可能有動到
10,25-100,100,6,12.33,8.9,,
10,25-100,100,7,12.55,6.76,,
10,25-100,100,8,12.46,8.81,,
10,25-100,100,9,12.73,8.37,,
10,25-100,100,10,11.84,10.24,,
10,25-150,25,1,11.54,5.61,,
10,25-150,25,2,12.01,7.25,,
10,25-150,25,3,13.78,4.36,,
10,25-150,25,4,12.1,6.31,,
10,25-150,25,5,16.72,1.62,,
10,25-150,25,6,12.63,5.07,,
10,25-150,25,7,12.01,4.81,,
10,25-150,25,8,11.83,7.92,,
10,25-150,25,9,11.12,6.58,,
10,25-150,25,10,9.6,8.47,,
10,25-150,150,1,11.83,11.96,,
10,25-150,150,2,11.62,10.34,,
10,25-150,150,3,11.38,9.52,,
10,25-150,150,4,11.96,8.5,,
10,25-150,150,5,10.58,14.85,,
10,25-150,150,6,12.72,7.65,,
10,25-150,150,7,12.28,8.89,,
10,25-150,150,8,13.16,9.6,,
10,25-150,150,9,12.54,12.1,,
10,25-150,150,10,12.27,9.43,,
10,50-150,50,1,11.39,6.78,,
10,50-150,50,2,12.9,4.89,,
10,50-150,50,3,12.41,4,,
10,50-150,50,4,12.38,7.21,,
10,50-150,50,5,12.1,6.85,,
10,50-150,50,6,12.41,7.3,,
10,50-150,50,7,11.84,6.02,,
10,50-150,50,8,12.9,5.61,,
10,50-150,50,9,13.62,4,,
10,50-150,50,10,11.96,5.99,,
10,50-150,150,1,11.08,10.41,,
10,50-150,150,2,12.81,7.2,,
10,50-150,150,3,12.14,7.87,,
10,50-150,150,4,11.51,10.02,,
10,50-150,150,5,13.79,7.74,,
10,50-150,150,6,13.09,9.44,,
10,50-150,150,7,12.81,10.1,,
10,50-150,150,8,13.17,9.09,,
10,50-150,150,9,13.08,7.92,,
10,50-150,150,10,13.53,7.04,,
10,50-100,50,1,11.68,8.91,,
10,50-100,50,2,11.62,9.53,,
10,50-100,50,3,12.57,6.96,,
10,50-100,50,4,11.66,7.59,,
10,50-100,50,5,13.09,4.09,,
10,50-100,50,6,12.11,8.92,,
10,50-100,50,7,12.65,4.89,,
10,50-100,50,8,12.33,7.71,,
10,50-100,50,9,12.64,7.13,,
10,50-100,50,10,11.89,7.54,,
10,50-100,100,1,8.64,13.98,,
10,50-100,100,2,12.72,9.35,,
10,50-100,100,3,13.09,8.55,,
10,50-100,100,4,12.73,8.9,,
10,50-100,100,5,11.85,7.48,,
10,50-100,100,6,12.99,6.9,,
10,50-100,100,7,12.9,6.05,,
10,50-100,100,8,12.06,8.63,,
10,50-100,100,9,13.88,5.35,,
10,50-100,100,10,12.86,6.09,,
10,75-100,75,1,13.71,4.9,,
10,75-100,75,2,11.18,7.57,,
10,75-100,75,3,13.39,6.53,,
